Freq,InputRe,InputIm,OutputRe,OutputIm,Mag,Phase,SmoothMag,SmoothPhase
1030.816,208269.9,0,-1618.352,-4432.063,-32.96601,-111.2692,-34.06112,-377.291
1036.241,254394.8,0,196.0162,-4135.845,-35.76359,-88.21865,-33.66444,-373.8263
1041.667,130470.7,0,1070.468,-979.6234,-39.00526,-42.89649,-33.29247,-370.4262
1047.092,116651.5,0,3800.685,-296.0757,-29.42661,-4.604702,-33.26009,-371.2661
1052.517,125421.6,0,5368.651,1945.001,-26.45569,20.84305,-32.93464,-371.3798
1057.943,133112,0,2057.407,3669.393,-29.87336,62.3247,-33.03868,-376.994
1063.368,111105.7,0,-228.9047,2930.606,-31.57005,95.97403,-33.74386,-369.6703
1068.793,90877.09,0,916.8665,1585.083,-33.82785,60.96287,-33.27317,-362.8657
1074.219,175931,0,25.3457,5340.353,-30.3581,91.467,-33.1027,-363.7496
1079.644,85271.87,0,1007.084,49.32019,-38.44121,2.837257,-33.38615,-364.9805
1085.069,94514.1,0,4884.357,-654.5811,-25.19582,-8.051494,-33.37417,-360.798
1090.495,161560.9,0,6861.697,2295.372,-26.60142,19.34617,-33.55097,-355.9456
1095.92,76435.77,0,1186.449,2127.396,-29.80043,62.47096,-33.58349,-355.3092
1101.345,84969.79,0,1430.771,1751.896,-31.35018,51.96289,-33.55142,-361.3343
1106.771,164648.3,0,1174.029,4299.914,-31.29054,76.23517,-33.51631,-366.2099
1112.196,184534,0,-2100.648,-1234.606,-37.68438,-149.9351,-33.8462,-368.6265
1117.622,184813.6,0,681.8431,586.3319,-46.22477,40.8754,-33.96833,-375.4881
1123.047,122176.6,0,1865.303,1168.74,-34.75333,32.62654,-33.68044,-384.8851
1128.472,151079.7,0,-1296.088,-1324.489,-38.3005,-134.8771,-33.40878,-392.0519
1133.898,128091.4,0,-205.0861,-1703.891,-37.47376,-97.6242,-33.37035,-401.1486
1139.323,147114.5,0,2718.455,130.0317,-34.49474,2.790133,-33.10405,-405.9958
1144.748,120127.7,0,1713.196,-278.4544,-36.67874,-9.366574,-33.94738,-398.3697
1150.174,139626.9,0,576.1204,-2012.731,-36.44666,-74.85614,-35.00666,-406.7772
1155.599,130994,0,-1578.49,-298.449,-38.33171,-169.4223,-35.30695,-401.9364
1161.024,137189.2,0,-1315.328,-4923.842,-28.68933,-106.9925,-35.71396,-407.7411
1166.45,91126.12,0,1671.062,-937.9401,-33.38334,-29.90552,-35.67787,-418.9632
1171.875,121327,0,480.4621,-2846.757,-32.43811,-81.76962,-35.43523,-417.5952
1177.3,146335.7,0,-1136.666,-7734.818,-25.52435,-101.3624,-34.91826,-426.1841
1182.726,135719,0,251.2372,-5315.435,-28.12293,-89.54089,-34.81319,-419.2188
1188.151,104548.3,0,-467.0865,-3467.621,-29.55107,-99.56276,-34.33135,-407.0714
1193.576,120738.8,0,-367.8417,-2734.854,-32.84903,-98.95403,-33.88206,-399.476
1199.002,166917.4,0,-1060.51,566.1945,-42.90564,152.0959,-33.75886,-398.9654
1204.427,144100.3,0,-481.0999,-202.931,-48.84639,-157.2101,-33.45293,-397.0849
1209.852,152036.7,0,-2321.584,671.1252,-36.10643,164.1255,-33.10011,-398.8036
1215.278,98109.48,0,348.1869,-925.9772,-39.89738,-69.93536,-32.54837,-397.3102
1220.703,75089.55,0,-2141.855,-830.2568,-30.53262,-159.4279,-32.66548,-398.007
1226.128,109530,0,-1302.73,-2252.432,-32.58891,-121.2079,-32.93261,-399.1552
1231.554,94817.14,0,-1232.764,-1077.337,-35.36855,-139.4918,-32.91824,-393.2817
1236.979,98907.75,0,-2388.704,47.07765,-32.54696,178.8976,-33.07973,-388.134
1242.405,69063.55,0,-1299.182,2417.833,-28.18184,120.2187,-33.0599,-386.3727
1247.83,58592.39,0,1142.136,1971.379,-28.0386,61.87907,-33.57841,-383.5549
1253.255,103710.4,0,2501.794,586.0183,-31.90748,13.51499,-33.68753,-386.1965
